,Date,Open,High,Low,Close,Adj Close,Volume,MA for 10 days,MA for 14 days,MA for 22 days,EMA of 22 Days,UBB,LBB,EMA2,EMA3,TEMA,pctB,MACD,RSI
13,1/2/1981,0.616071,0.620536,0.616071,0.616071,0.027608,5415200,0.5770088,0.548788214,,,,,,,,,,
14,1/5/1981,0.604911,0.604911,0.602679,0.602679,0.027008,8932000,0.5897321,0.555165786,,,,,,,,,,64.73494323
15,1/6/1981,0.578125,0.578125,0.575893,0.575893,0.025808,11289600,0.596875,0.561543357,,,,,,,,,,56.11203553
16,1/7/1981,0.553571,0.553571,0.551339,0.551339,0.024708,13921600,0.5991071,0.568718071,,,,,,,,,,49.59099555
17,1/8/1981,0.542411,0.542411,0.540179,0.540179,0.024207,9956800,0.5979911,0.574298429,,,,,,,,,,46.9219062
18,1/9/1981,0.569196,0.571429,0.569196,0.569196,0.025508,5376000,0.596875,0.580994857,,,,,,,,,,53.87349165
19,1/12/1981,0.569196,0.569196,0.564732,0.564732,0.025308,5924800,0.5899553,0.585299714,,,,,,,,,,52.72935637
20,1/13/1981,0.546875,0.546875,0.544643,0.544643,0.024407,5762400,0.5801339,0.586415786,,,,,,,,,,47.80864897
21,1/14/1981,0.546875,0.549107,0.546875,0.546875,0.024508,3572800,0.5720982,0.586096929,0.553571409,0.560132206,0.665114732,0.442028086,,,,9.399658454,,48.38497964
22,1/15/1981,0.558036,0.5625,0.558036,0.558036,0.025008,3516800,0.5669643,0.584502571,0.555600636,0.559987175,0.665695902,0.44550537,,,,10.22120512,,51.28202955
23,1/16/1981,0.555804,0.555804,0.553571,0.553571,0.024808,3348800,0.5607143,0.578762714,0.558644455,0.559553548,0.664362184,0.452926725,,,,9.520094258,,50.07123294
24,1/19/1981,0.587054,0.589286,0.587054,0.587054,0.026308,10393600,0.5591518,0.574776786,0.564833591,0.561371884,0.65948006,0.470187122,,,,12.34772722,,58.06683576
25,1/20/1981,0.571429,0.571429,0.569196,0.569196,0.025508,7520800,0.5584821,0.570631357,0.569703682,0.561878742,0.652468816,0.486938548,,,,9.938659941,0.007984237,53.17573086
26,1/21/1981,0.580357,0.584821,0.580357,0.580357,0.026008,3976000,0.5613839,0.568558643,0.574472364,0.563053094,0.645775271,0.503169456,,,,10.82530104,0.003548532,55.68793966
27,1/22/1981,0.587054,0.591518,0.587054,0.587054,0.026308,8887200,0.5660714,0.566486,0.578226455,0.564551312,0.642426477,0.514026432,,,,11.37500659,0.000615269,57.17273614
