Date,Open,High,Low,Close,Adj Close,Volume
2007-09-14,80.250000,124.500000,55.099998,114.050003,114.050003,40391092
2007-09-17,115.000000,135.899994,115.000000,131.300003,131.300003,9645732
2007-09-18,140.000000,144.500000,128.000000,136.199997,136.199997,8965641
2007-09-19,140.000000,147.500000,135.250000,137.649994,137.649994,6198972
2007-09-20,139.500000,139.850006,124.000000,128.649994,128.649994,2637436
2007-09-21,128.000000,132.000000,120.050003,121.400002,121.400002,1384494
2007-09-24,121.500000,131.949997,121.500000,127.000000,127.000000,1588168
2007-09-25,128.000000,128.000000,120.300003,122.000000,122.000000,292997
2007-09-26,123.000000,124.000000,110.050003,113.150002,113.150002,442258
2007-09-27,113.000000,116.900002,112.000000,112.900002,112.900002,474408
2007-09-28,114.000000,120.400002,102.099998,115.500000,115.500000,1405496
2007-10-01,120.000000,134.199997,118.000000,124.949997,124.949997,2171578
2007-10-03,120.000000,136.899994,120.000000,132.050003,132.050003,1457031
2007-10-04,133.000000,149.000000,130.000000,142.750000,142.750000,3015608
2007-10-05,148.899994,155.899994,145.699997,146.149994,146.149994,2843304
2007-10-08,149.399994,151.000000,134.149994,135.000000,135.000000,762751
2007-10-09,134.000000,146.850006,128.000000,145.100006,145.100006,1401645
2007-10-10,148.449997,167.000000,148.000000,157.800003,157.800003,2960273
2007-10-11,159.750000,175.699997,158.500000,170.350006,170.350006,3421986
2007-10-12,168.000000,184.000000,166.000000,168.550003,168.550003,952936
2007-10-15,171.899994,194.399994,170.000000,189.699997,189.699997,2380723
2007-10-16,190.199997,210.800003,190.000000,205.000000,205.000000,2881677
2007-10-17,194.800003,209.000000,184.550003,197.300003,197.300003,1278114
2007-10-18,201.000000,217.000000,181.899994,193.050003,193.050003,2323626
2007-10-19,188.000000,188.899994,173.750000,173.899994,173.899994,686336
2007-10-22,160.600006,182.399994,159.100006,174.600006,174.600006,687899
2007-10-23,180.000000,188.500000,180.000000,186.350006,186.350006,399184
2007-10-24,192.199997,195.000000,184.149994,186.050003,186.050003,400841
2007-10-25,187.500000,197.000000,180.500000,182.649994,182.649994,823030
2007-10-26,186.000000,191.899994,181.050003,183.550003,183.550003,306671
2007-10-29,188.500000,192.000000,179.100006,179.850006,179.850006,467849
2007-10-30,181.500000,183.000000,169.899994,172.699997,172.699997,260364
2007-10-31,174.800003,186.399994,167.000000,169.899994,169.899994,1026499
2007-11-01,170.800003,176.399994,154.350006,158.500000,158.500000,383502
2007-11-02,157.000000,174.000000,150.000000,165.449997,165.449997,579710
2007-11-05,163.750000,180.000000,159.000000,160.699997,160.699997,544438
2007-11-06,163.949997,169.899994,155.000000,156.399994,156.399994,228153
2007-11-07,159.600006,161.850006,145.000000,148.449997,148.449997,193016
2007-11-08,143.000000,149.899994,142.000000,143.300003,143.300003,152787
2007-11-12,142.050003,143.899994,137.399994,141.000000,141.000000,114941
2007-11-13,141.399994,149.750000,141.399994,147.100006,147.100006,129608
2007-11-14,150.500000,158.000000,150.500000,155.199997,155.199997,233685
2007-11-15,158.949997,174.000000,154.100006,163.800003,163.800003,283790
2007-11-16,161.100006,168.800003,160.100006,163.399994,163.399994,118875
2007-11-19,168.800003,170.899994,161.100006,162.500000,162.500000,74863
2007-11-20,163.000000,165.000000,157.000000,158.399994,158.399994,66221
2007-11-21,159.000000,159.000000,137.000000,142.449997,142.449997,72602
2007-11-22,143.000000,145.000000,132.050003,136.500000,136.500000,84192
2007-11-23,139.149994,148.000000,139.149994,145.649994,145.649994,49888
2007-11-26,150.000000,169.449997,150.000000,160.100006,160.100006,255146
2007-11-27,160.000000,161.449997,151.000000,152.750000,152.750000,79449
2007-11-28,156.000000,156.000000,145.500000,147.750000,147.750000,307633
2007-11-29,152.100006,154.449997,145.250000,146.800003,146.800003,163326
2007-11-30,146.000000,151.500000,145.100006,148.350006,148.350006,70324
2007-12-03,146.050003,152.000000,145.899994,147.149994,147.149994,93148
2007-12-04,148.149994,158.149994,143.250000,145.300003,145.300003,257237
2007-12-05,147.500000,156.000000,143.250000,144.850006,144.850006,460823
2007-12-06,146.500000,150.000000,141.500000,143.649994,143.649994,203172
2007-12-07,147.000000,147.699997,141.199997,144.000000,144.000000,137819
2007-12-10,145.000000,145.000000,141.899994,143.050003,143.050003,37023
2007-12-11,144.500000,146.500000,140.000000,140.600006,140.600006,144520
2007-12-12,138.000000,143.949997,135.000000,141.750000,141.750000,75345
2007-12-13,143.000000,143.000000,136.100006,139.050003,139.050003,94998
2007-12-14,139.899994,145.000000,136.500000,138.300003,138.300003,81018
2007-12-17,136.600006,138.899994,124.949997,128.199997,128.199997,171602
2007-12-18,128.199997,129.800003,123.250000,127.000000,127.000000,46397
2007-12-19,128.500000,136.000000,127.050003,127.650002,127.650002,68969
2007-12-20,130.000000,131.000000,125.099998,127.300003,127.300003,28444
2007-12-24,128.500000,131.750000,127.300003,129.149994,129.149994,21968
