Date,Open,High,Low,Close,Adj Close,Volume
2009-08-20,105.000000,107.900002,98.500000,100.050003,100.050003,96423800
2009-08-21,99.400002,103.900002,98.500000,103.199997,103.199997,19475100
2009-08-24,104.599998,104.599998,101.650002,103.050003,103.050003,7606000
2009-08-25,101.099998,103.099998,101.000000,102.599998,102.599998,4877400
2009-08-26,102.599998,107.150002,102.599998,105.099998,105.099998,10904200
2009-08-27,104.900002,106.699997,103.750000,104.449997,104.449997,5225000
2009-08-28,105.349998,105.500000,103.599998,104.150002,104.150002,2718270
2009-08-31,102.400002,104.500000,101.500000,102.849998,102.849998,3787155
2009-09-01,103.250000,103.900002,100.250000,100.849998,100.849998,2086182
2009-09-02,101.449997,102.650002,99.849998,101.250000,101.250000,2252131
2009-09-03,101.699997,101.900002,99.849998,100.050003,100.050003,1000586
2009-09-04,100.099998,101.099998,97.250000,98.599998,98.599998,2074052
2009-09-07,99.599998,101.150002,99.000000,100.849998,100.849998,1511580
2009-09-08,102.000000,102.500000,100.099998,101.199997,101.199997,1994493
2009-09-09,101.000000,104.349998,100.000000,103.199997,103.199997,3758163
2009-09-10,104.000000,104.900002,101.500000,102.449997,102.449997,2941302
2009-09-11,103.000000,103.900002,102.050003,103.300003,103.300003,1286325
2009-09-14,105.000000,105.000000,101.000000,101.800003,101.800003,1258033
2009-09-15,102.500000,102.500000,101.300003,101.599998,101.599998,1093286
2009-09-16,102.000000,102.650002,100.650002,100.900002,100.900002,1901480
2009-09-17,101.449997,101.800003,100.250000,100.800003,100.800003,1078180
2009-09-18,100.699997,101.199997,100.099998,100.900002,100.900002,962810
2009-09-22,102.099998,102.099998,100.400002,101.150002,101.150002,827305
2009-09-23,102.000000,102.000000,100.500000,101.300003,101.300003,1192419
2009-09-24,100.800003,101.349998,99.800003,100.550003,100.550003,978034
2009-09-25,100.500000,101.000000,100.150002,100.849998,100.849998,1054376
2009-09-29,101.500000,102.000000,100.500000,101.699997,101.699997,1394155
2009-09-30,102.000000,102.150002,101.199997,101.900002,101.900002,776967
2009-10-01,101.199997,102.699997,101.000000,102.000000,102.000000,679180
2009-10-05,101.000000,101.800003,100.500000,100.849998,100.849998,380284
2009-10-06,100.849998,101.500000,100.000000,100.800003,100.800003,422230
2009-10-07,101.000000,101.699997,100.500000,100.800003,100.800003,400315
2009-10-08,101.099998,104.500000,100.500000,101.250000,101.250000,1253897
2009-10-09,101.449997,102.500000,100.599998,101.099998,101.099998,635742
2009-10-12,101.449997,103.849998,100.699997,102.050003,102.050003,765069
2009-10-13,102.050003,102.050003,102.050003,102.050003,102.050003,0
2009-10-14,102.000000,103.250000,101.199997,101.699997,101.699997,552008
2009-10-15,102.000000,102.900002,100.000000,100.150002,100.150002,1300512
2009-10-16,100.599998,101.300003,100.150002,100.849998,100.849998,437183
2009-10-20,98.300003,101.500000,98.300003,100.150002,100.150002,810052
2009-10-21,100.500000,100.599998,99.599998,100.000000,100.000000,488056
2009-10-22,100.099998,100.650002,99.699997,99.900002,99.900002,228375
2009-10-23,100.000000,102.400002,100.000000,100.300003,100.300003,393516
2009-10-26,100.550003,100.699997,99.099998,99.500000,99.500000,253995
2009-10-27,99.500000,100.000000,93.650002,97.699997,97.699997,633495
2009-10-28,96.900002,97.500000,95.000000,97.099998,97.099998,497637
2009-10-29,95.949997,96.800003,95.000000,95.300003,95.300003,137067
2009-10-30,96.800003,100.500000,96.199997,97.800003,97.800003,672371
2009-11-03,99.000000,99.800003,95.099998,96.199997,96.199997,1848078
2009-11-04,97.099998,97.800003,91.500000,93.750000,93.750000,1305207
2009-11-05,93.400002,93.949997,90.250000,90.949997,90.949997,1556053
2009-11-06,92.000000,96.849998,91.300003,92.650002,92.650002,1263890
2009-11-09,93.000000,94.000000,91.150002,93.199997,93.199997,442079
2009-11-10,93.500000,95.500000,93.500000,94.000000,94.000000,281792
2009-11-11,95.650002,95.650002,93.250000,93.699997,93.699997,244585
